№ автостоянки,Адрес,Тип автостоянки,Количество машиномест,"Площадь участка, м2",Район города,Ближайшая станция метро,Примечания
1,"194362, Санкт-Петербург, проспект Энгельса, 162, литера Р",Перехватывающая,101,4804.0,Выборгский,Парнас,"посёлок Парголово, 3-й верхний переулок, участок 16 (северо-восточнее д. 162 лит.Р по проспекту Энгельса)"
2,"194358, Санкт-Петербург, проспект Просвещения, 30, корпус 1",Перехватывающая,47,1319.0,Выборгский,Проспект Просвещения,"пр. Просвещения, участок 119 (напротив дома 30, кор. 1)"
3,"195267, Санкт-Петербург, Гражданский проспект, 116, корпус 1",Перехватывающая,46,1423.0,Калининский,Гражданский проспект,"пр-кт. Гражданский, участок 11, (северо-западнее дома 116, корпус 1)"
4,"194064, Санкт-Петербург, Политехническая улица, 29, литера П",Перехватывающая,57,1413.0,Калининский,Политехническая," Политехническая ул., участок 8 (западнее д. 29, лит. П по Политехнической ул.)"
5,"198097, Санкт-Петербург, проспект Стачек, 47, литера Ф",Перехватывающая,31,2722.0,Кировский,Кировский завод,"проспект Стачек, у дома 47 лит. Ф"
6,"198260, Санкт-Петербург, проспект Народного Ополчения, 16",Перехватывающая,138,5814.0,Кировский,Ленинский проспект,"пр. Народного Ополчения, участок 137 (у дома 16), напротив дома 21"
7,"195112, Санкт-Петербург, Заневский проспект, 65, литера А",Перехватывающая,235,5200.0,Красногвардейский,Ладожская,"Заневский пр., у дома 65, лит. А, участок 30"
8,"196233, Санкт-Петербург, Витебский проспект, 90, литера А",Перехватывающая,91,2482.0,Московский,Купчино,"Витебский проспект, участок 1 (юго-восточнее пересечения с Звездной улицей)"
9,"196233, Санкт-Петербург, Витебский проспект, 108, литера А",Перехватывающая,99,3741.0,Московский,Купчино,"Витебский пр., уч.193 (западнее дома 108, лит.А)"
10,"192012, Санкт-Петербург, улица Грибакиных, 27, литера А",Перехватывающая,267,9764.0,Невский,Обухово,"ул. Грибакиных, участок 115 (восточнее дома 27 лит.А)"
11,"197341, Санкт-Петербург, проспект Испытателей, 5, корпус 2, литера А",Перехватывающая,90,5011.0,Приморский,Пионерская,"пр. Испытателей, уч. 81 (юго-западнее дома 5, корпус 2, литера А) и уч. 47 (северо-восточнее пересечения с Коломяжским пр.)"
12,"192102, Санкт-Петербург, Касимовская улица, 10",Перехватывающая,151,4040.0,Фрунзенский,Волковская,"Касимовская ул., участок 2 (напротив дома 10 по Касимовской улице)"
13,"193167, Санкт-Петербург, Синопская набережная, 30",Перехватывающая,151,5590.0,Центральный,Площадь Александра Невского,"Синопская набережная, участок 10 (у дома 30)"
14,"198096, Санкт-Петербург, Кронштадская улица, 5, литера А",Социальная,70,2522.0,Кировский,Кировский завод,"пр.Маршала Жукова, уч.2 (южнее д.5, лит.А по Кронштадской ул.)"
15,"198260, Санкт-Петербург, проспект Народного Ополчения, 179",Социальная,92,3000.0,Кировский,Проспект Ветеранов,"проспект Народного Ополчения, участок 134 (напротив дома 179)"
16,"195298, Санкт-Петербург, улица Комунны, 16, литера А",Социальная,97,3496.0,Красногвардейский,Ладожская,"улица Комунны, участок 67 (северо-восточнее дома 16, литер А)"
17,"196240, Санкт-Петербург, Кубинская улица, 86, литера А",Социальная,257,7008.0,Московский,Звездная,"5-й Предпортовый проезд, участок 104 (напротив дома 86, литера А по Кубинской улице)"
18,"197374, Санкт-Петербург, улица Оптиков, 50, корпус 2",Социальная,45,2639.0,Приморский,Старая Деревня,"Оптиков, участок №43 (северо-восточнее ул. Туристской)"
19,"197374, Санкт-Петербург, улица Оптиков, 33, корпус 1, литера А",Социальная,45,2500.0,Приморский,Старая Деревня,"Оптиков, участок №44 (северо-западнее ул. Яхтеной)"
20,"193036, Санкт-Петербург, Лиговский проспект, 27/7, литера А ",Коммерческая ,42,1240.0,Центральный,Площадь Восстания,"Лиговский проспект, уч. 1 (южнее пересечения с переулком Ульяны Громовой)"
21,"191036, Санкт-Петербург, Лиговский проспект, 6, литера А",Коммерческая ,54,2821.0,Центральный,Площадь Восстания,"Греческая площадь, уч. 1 (северо-западнее дома 6, литера А по Лиговскому проспекту)"
22,"191011, Санкт-Петербург, площадь Островского, 6, литера А ",Коммерческая ,41,1300.0,Центральный,Гостинный двор,"площадь Островского, участок 10 (с западной стороны от здания Александринского театра)"
23,"191036, Санкт-Петербург, 1-я Советская улица, 8, литера А",Коммерческая,60,2298.0,Центральный,Площадь Восстания,"1-я Советская улица, участок 2 (от дома 1/4, литера А по Орловскому переулку до середины дома 126/2, литера А по Невскому проспекту)"
